# ABCx3 canonical Hungarian classic-tile lexicon v1
# key=base64url one-byte token identifiers; value=NFC surface
# Compatibility aliases first; preferred physical spelling follows.
ARUVDQg	annyié
ARUVDQgbHg	annyiért
ARUVDQkBDx4B	annyifajta
ARUVDQkHEQg	annyifelé
ARUVDQkIEQc	annyiféle
ARUVDQkIEQgQ	annyifélék
ARUVDQkIEQgU	annyifélén
ARUVDQkIEQge	annyifélét
ARUVDQwWJQ	annyihoz
ARUVDQ0K	annyiig
ARUVDQ8B	annyija
ARUVDRA	annyik
ARUVDRABHg	annyikat
ARUVDRADAQ	annyikba
ARUVDRADARQ	annyikban
ARUVDRADFxE	annyikból
ARUVDRAIFB4	annyiként
ARUVDRAIGx4	annyikért
ARUVDRAMFiU	annyikhoz
ARUVDRANCg	annyikig
ARUVDRAQARE	annyikkal
ARUVDRAQAg	annyikká
ARUVDRAQCBQe	annyikként
ARUVDRAUARA	annyiknak
ARUVDRAUAhE	annyiknál
ARUVDRAWFA	annyikon
ARUVDRAbAQ	annyikra
ARUVDRAbFxE	annyikról
ARUVDRAeFxE	annyiktól
ARUVDRAgEQ	annyikul
ARUVDRM	annyim
ARUVDRQ	annyin
ARUVDRQBEA	annyinak
ARUVDRQCEQ	annyinál
ARUVDRsB	annyira
ARUVDRsXEQ	annyiról
ARUVDR0WGw	annyiszor
ARUVDR4	annyit
ARUVDR4XEQ	annyitól
ARUVDSAQ	annyiuk
ARUVDSAR	annyiul
ARUVDSAUEA	annyiunk
ARUVDSAUEAEe	annyiunkat
ARUVDSQBEQ	annyival
ARUVDSQC	annyivá
ARoBBQUBEQ	apaccsal
ARoBBQUC	apaccsá
ARoBFAImJgER	apanázzsal
ARoBFAImJgI	apanázzsá
ARoBHR0	apassz
ARoBHR0B	apassza
ARoBHR0BBg	apasszad
ARoBHR0BEA	apasszak
ARoBHR0BEQEQ	apasszalak
ARoBHR0BEw	apasszam
ARoBHR0BFAEQ	apasszanak
ARoBHR0BHhYQ	apasszatok
ARoBHR0CEA	apasszák
ARoBHR0CEQ	apasszál
ARoBHR0CHhYQ	apasszátok
ARoBHR0WFA	apasszon
ARoBHR0gEA	apasszuk
ARoBHR0gFBA	apasszunk
ARoCEhIBEQ	apállyal
ARoCEhIC	apállyá
ARsBFRUBEQ	arannyal
ARsBFRUC	arannyá
ARsBFRUN	arannyi
ARsBHR0BEQ	arasszal
ARsBHR0C	arasszá
ARsCFRUBEQ	aránnyal
ARsCFRUC	aránnyá
ARsFBRYUHg	arccsont
ARsFBRYUHhYQ	arccsontok
ARsFBRYUHhsB	arccsontra
AR0CEhIBEQ	aszállyal
AR0CEhIC	aszállyá
AR0d	assz
AR0dARA	asszak
AR0dARM	asszam
AR0dARQBEA	asszanak
AR0dAR4WEA	asszatok
AR0dAhE	asszál
AR0dBxAgGwIR	asszekurál
AR0dBxsEDRc	asszerció
AR0dBxseDiQ	asszertív
AR0dCBA	asszék
AR0dDRMNEQIR	asszimilál
AR0dDR0eAhE	asszisztál
AR0dDhs	asszír
AR0dDhsDAQ	asszírba
AR0dDhsDARQ	asszírban
AR0dDhsDFxE	asszírból
AR0dDhsIGx4	asszírért
AR0dDhsMFiU	asszírhoz
AR0dDhsNCg	asszírig
AR0dDhsQCBQe	asszírként
AR0dDhsUARA	asszírnak
AR0dDhsUAhE	asszírnál
AR0dDhsWEA	asszírok
AR0dDhsWEAEe	asszírokat
AR0dDhsWEAMB	asszírokba
AR0dDhsWEA0K	asszírokig
AR0dDhsWEBAC	asszírokká
AR0dDhsWEBYU	asszírokon
AR0dDhsWEBsB	asszírokra
AR0dDhsWECAR	asszírokul
AR0dDhsWFA	asszíron
AR0dDhsbAQ	asszírra
AR0dDhsbARE	asszírral
AR0dDhsbAg	asszírrá
AR0dDhsbFxE	asszírról
AR0dDhse	asszírt
AR0dDhseFxE	asszírtól
AR0dDhsgEQ	asszírul
AR0dFgQNAhE	asszociál
AR0dFgQNAhEG	asszociáld
AR0dFgQNAhEP	asszociálj
AR0dFgQNAhEX	asszociáló
AR0dFgQNAhEe	asszociált
AR0dFhQ	asszon
AR0dFhQCFAQ	asszonánc
AR0dFhU	asszony
AR0dFhUB	asszonya
AR0dFhUBDQ	asszonyai
AR0dFhUBDRA	asszonyaik
AR0dFhUBDR4	asszonyait
AR0dFhUCAwE	asszonyába
AR0dFhUCCA	asszonyáé
AR0dFhUCCB4	asszonyáét
AR0dFhUCDQo	asszonyáig
AR0dFhUCFA	asszonyán
AR0dFhUCGwE	asszonyára
AR0dFhUCHg	asszonyát
AR0dFhUCJAI	asszonyává
AR0dFhUDAQ	asszonyba
AR0dFhUDARQ	asszonyban
AR0dFhUDFxE	asszonyból
AR0dFhUI	asszonyé
AR0dFhUIEA	asszonyék
AR0dFhUIGwE	asszonyéra
AR0dFhUIGx4	asszonyért
AR0dFhUIHg	asszonyét
AR0dFhUMFiU	asszonyhoz
AR0dFhUN	asszonyi
AR0dFhUNARw	asszonyias
AR0dFhUNCg	asszonyig
AR0dFhUQAQ	asszonyka
AR0dFhUQAgY	asszonykád
AR0dFhUQAgg	asszonykáé
AR0dFhUQAhA	asszonykák
AR0dFhUQAhM	asszonykám
AR0dFhUQAhQ	asszonykán
AR0dFhUQAh4	asszonykát
AR0dFhUQCCU	asszonykéz
AR0dFhUUARA	asszonynak
AR0dFhUUAhE	asszonynál
AR0dFhUUCBo	asszonynép
AR0dFhUVARE	asszonnyal
AR0dFhUVAg	asszonnyá
AR0dFhUWBg	asszonyod
AR0dFhUWEA	asszonyok
AR0dFhUWEAg	asszonyoké
AR0dFhUWEw	asszonyom
AR0dFhUWFA	asszonyon
AR0dFhUWHA	asszonyos
AR0dFhUWHB4	asszonyost
AR0dFhUYEQ	asszonyöl
AR0dFhUbAQ	asszonyra
AR0dFhUbFxE	asszonyról
AR0dFhUcAgo	asszonyság
AR0dFhUe	asszonyt
AR0dFhUeFxE	asszonytól
AR0dFhUgEA	asszonyuk
AR0dFhUgEQ	asszonyul
AR0dFhUgFBA	asszonyunk
AR0dFw	asszó
AR0dFwMB	asszóba
AR0dFwMBFA	asszóban
AR0dFwMXEQ	asszóból
AR0dFwgbHg	asszóért
AR0dFwwWJQ	asszóhoz
AR0dFw0K	asszóig
AR0dFw0Q	asszóik
AR0dFw0e	asszóit
AR0dFw8B	asszója
AR0dFw8CAwEU	asszójában
AR0dFw8CHg	asszóját
AR0dFxA	asszók
AR0dFxABHg	asszókat
AR0dFxADAQ	asszókba
AR0dFxADARQ	asszókban
AR0dFxADFxE	asszókból
AR0dFxAIFB4	asszóként
AR0dFxAIGx4	asszókért
AR0dFxAMFiU	asszókhoz
AR0dFxANCg	asszókig
AR0dFxAQARE	asszókkal
AR0dFxAQAg	asszókká
AR0dFxAQCBQe	asszókként
AR0dFxAUARA	asszóknak
AR0dFxAUAhE	asszóknál
AR0dFxAWFA	asszókon
AR0dFxAbAQ	asszókra
AR0dFxAbFxE	asszókról
AR0dFxAeFxE	asszóktól
AR0dFxAgEQ	asszókul
AR0dFxM	asszóm
AR0dFxQ	asszón
AR0dFxQBEA	asszónak
AR0dFxQCEQ	asszónál
AR0dFxsB	asszóra
AR0dFxsXEQ	asszóról
AR0dFx4	asszót
AR0dFx4XEQ	asszótól
AR0dFyAR	asszóul
AR0dFyQBEQ	asszóval
AR0dFyQC	asszóvá
AR0dFyUWHh4	asszózott
AR0dIBQQ	asszunk
AR4RAR0dARE	atlasszal
AR4RAR0dAg	atlasszá
ASAeFwMgHR0C	autóbusszá
ASAeFxAbFh0d	autókrossz
AgUFARE	áccsal
AgUFAg	áccsá
AgsLARE	ággyal
AgsLAg	ággyá
AhEDAQ8gHR0C	álbajusszá
AhEDGBEFBQcR	álbölccsel
AhEDGBEFBQg	álbölccsé
AhEQIBEFBQER	álkulccsal
AhEQIBEFBQI	álkulccsá
AhERCBAWFRUC	állékonnyá
AhERFhMCFRUC	állománnyá
AhERFwwHEhII	állóhellyé
AhERFxsIHR0I	állórésszé
AhERJAIVFQER	állvánnyal
